age,policy_number,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
29,687698,2000,1413.14,FEMALE,PhD,sales,own-child,35100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,3,NO,2,3,NO,34650,7700,3850,23100,N
41,227811,2000,1415.74,FEMALE,PhD,armed-forces,unmarried,48900,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,1,None,1,2,NO,63400,6340,6340,50720,Y
44,367455,1000,1583.91,MALE,Associate,sales,unmarried,66000,-46000,Vehicle Theft,None,Minor Damage,None,NY,Arlington,1,NO,0,1,NO,6500,1300,650,4550,N
39,104594,1000,1351.1,FEMALE,PhD,tech-support,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,3,NO,0,2,NO,64100,6410,6410,51280,Y
34,413978,1000,1333.35,MALE,PhD,prof-specialty,husband,0,-77000,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,3,None,0,0,None,78650,21450,7150,50050,N
37,429027,1000,1137.03,MALE,Associate,tech-support,unmarried,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3,None,2,2,YES,51590,9380,9380,32830,N
33,485665,500,1442.99,FEMALE,PhD,other-service,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,1,NO,1,1,YES,27700,2770,2770,22160,N
42,636550,500,1315.68,MALE,PhD,priv-house-serv,wife,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,1,NO,2,1,None,42300,4700,4700,32900,N
42,543610,500,1253.12,FEMALE,Masters,exec-managerial,other-relative,38400,0,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1,YES,2,2,None,87010,7910,15820,63280,N
61,214618,2000,1137.16,FEMALE,High School,exec-managerial,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,3,YES,1,2,YES,114920,17680,17680,79560,N
38,644081,2000,1301.13,FEMALE,College,machine-op-inspct,not-in-family,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,1,NO,0,2,YES,46200,4200,8400,33600,Y
26,558938,1000,1199.44,MALE,College,machine-op-inspct,own-child,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,3,None,1,2,YES,52110,5790,5790,40530,N
31,275265,500,708.64,MALE,High School,machine-op-inspct,unmarried,53500,0,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,1,NO,0,2,YES,77880,14160,7080,56640,N
39,143972,2000,1475.73,FEMALE,High School,handlers-cleaners,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,3,None,2,0,NO,60400,6040,6040,48320,N
41,431876,2000,875.15,FEMALE,Associate,machine-op-inspct,own-child,46700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,3,None,1,2,None,37840,0,4730,33110,N
